--------- beginning of system
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
I/ActivityManager( 1944): START u0 {act=android.intent.action.MAIN cmp=com.android.settings/.SubSettings (has extras)} from uid 1000 on display 0
V/WindowManager( 1944): addAppToken: AppWindowToken{1848eaef token=Token{399cbbce ActivityRecord{1391d8c9 u0 com.android.settings/.SubSettings t104}}} to stack=1 task=104 at 1
V/ActivityManager( 1944): resumeTopActivityLocked mLowResumedActivityPkg :[com.android.settings] HomeActivity :[com.android.launcher3 ]
V/ActivityManager( 1944): resumeTopActivityLocked mLowResumedActivityPkg :[com.android.settings] HomeActivity :[com.android.launcher3 ]
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/WifiService( 1944): New client listening to asynchronous messages
V/WindowManager( 1944): Adding window Window{2aef4cf5 u0 com.android.settings/com.android.settings.SubSettings} at 3 of 6 (after Window{39fd0204 u0 com.android.settings/com.android.settings.Settings})
V/ActivityManager( 1944): stopActivityLocked mLowResumedActivityPkg=[ com.android.settings]Removing activity=[ com.android.settings]isLowRamGoHome =[false ]
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
D/PowerManagerService( 1944): getInputBlocked: false
